Paragraf (kód);Položka (kód);Schválený rozpočet;Rozpočet po změnách;Konečný rozpočet;Výsledek od počátku roku
6310;5161;5000000;5000000;5000000;759936,9
6310;5163;264600000;264600000;264600000;103131207,8
6310;5166;5000000;5000000;5000000;0
6310;5169;5000000;5000000;5000000;0
6310;5192;5000000;5000000;5000000;0
6310;5362;5000000;5012000;5012000;323152,16
6310;5991;0;0;0;0
6320;5179;75000000;75000000;75000000;19813661,34
6391;5189;50000000;50000000;50000000;3000000
6391;5422;0;100000;100000;100000
6399;5909;75000000;73938000;73938000;0
6401;5322;8351062344;8351062344;8351062344;4175531190
6401;5324;1069942700;1069942700;1069942700;534971358
6409;5169;10000000;10581143;10581143;8342763,5
6409;5191;500000000;500000000;500000000;0
6409;5192;233000000;133000000;133000000;0
6409;5221;0;0;12000000;2180042,88
6409;5321;0;18334782,54;19334782,54;18334782,54
6409;5323;167995200;108972917,5;108972917,5;16845301,48
6409;5329;0;10687500;10687500;10687500
6409;5332;0;0;3000000;364247,51
6409;5339;0;0;500000;172859,91
6409;5369;50000000;29675043,83;29675043,83;533,09
6409;5429;1400000;1400000;1400000;667983
6409;5790;500000000;459418857;459418857;0
6409;5901;3780696199;3269231652;3269231652;0
6409;5909;143500000;77087192;77087192;0
6409;5991;0;0;0;0
