"Položka ";"Název ";"Druh ";"Třída ";"Seskupení ";"Podseskupení ";"Od ";"Do "
"6415";"Investiční půjčené prostředky vybraným podnikatelským subjektům ve vlastnictví státu";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky podnikatelským subjektům";"1.1.1900";"1.1.9999"
"6419";"Ostatní investiční půjčené prostředky podnikatelským subjektům";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky podnikatelským subjektům";"1.1.1900";"1.1.9999"
"6421";"Investiční půjčené prostředky obecně prospěšným společnostem";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"6422";"Investiční půjčené prostředky občanským sdružením";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"6423";"Investiční půjčené prostředky církvím a náboženským společnostem";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"6424";"Investiční půjčené prostředky společenstvím vlastníků jednotek";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"6429";"Ostatní investiční půjčené prostředky neziskovým a podobným organizacím";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"6431";"Investiční půjčené prostředky státnímu rozpočtu";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"6432";"Investiční půjčené prostředky státním fondům";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"6433";"Investiční půjčené prostředky zvláštním fondům ústřední úrovně";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"6434";"Investiční půjčené prostředky fondům sociálního a zdravotního pojištění";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"6439";"Ostatní investiční půjčené prostředky jiným veřejným rozpočtům";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"6441";"Investiční půjčené prostředky obcím";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky veřejným rozpočtům územní úrovně";"1.1.1900";"1.1.9999"
"6442";"Investiční půjčené prostředky krajům";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky veřejným rozpočtům územní úrovně";"1.1.1900";"1.1.9999"
"6443";"Investiční půjčené prostředky regionálním radám";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky veřejným rozpočtům územní úrovně";"1.1.1900";"1.1.9999"
"6449";"Ostatní investiční půjčené prostředky veřejným rozpočtům místní úrovně";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky veřejným rozpočtům územní úrovně";"1.1.1900";"1.1.9999"
"6451";"Investiční půjčené prostředky zřízeným příspěvkovým organizacím";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky příspěvkovým a podobným organizacím";"1.1.1900";"1.1.9999"
"6452";"Investiční půjčené prostředky vysokým školám";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky příspěvkovým a podobným organizacím";"1.1.1900";"1.1.9999"
"6459";"Investiční půjčené prostředky ostatním příspěvkovým organizacím";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky příspěvkovým a podobným organizacím";"1.1.1900";"1.1.9999"
"6460";"Investiční půjčené prostředky obyvatelstvu";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky obyvatelstvu";"1.1.1900";"1.1.9999"
"6470";"Investiční půjčené prostředky do zahraničí";"Výdaje";"Kapitálové výdaje";"Investiční půjčené prostředky";"Investiční půjčené prostředky do zahraničí";"1.1.1900";"1.1.9999"
"6710";"Investiční převody Národnímu fondu na spolufinancování programu Phare";"Výdaje";"Kapitálové výdaje";"Investiční převody Národnímu fondu";"Investiční převody Národnímu fondu na spolufinancování programu Phare";"1.1.1900";"1.1.9999"
"6720";"Investiční převody Národnímu fondu na spolufinancování programu Ispa";"Výdaje";"Kapitálové výdaje";"Investiční převody Národnímu fondu";"Investiční převody Národnímu fondu na spolufinancování programu Ispa";"1.1.1900";"1.1.9999"
"6730";"Investiční převody Národnímu fondu na spolufinancování programu Sapard";"Výdaje";"Kapitálové výdaje";"Investiční převody Národnímu fondu";"Investiční převody Národnímu fondu na spolufinancování programu Sapard";"1.1.1900";"1.1.9999"
"6740";"Investiční převody Národnímu fondu na spolufinancování komunitárních programů";"Výdaje";"Kapitálové výdaje";"Investiční převody Národnímu fondu";"Investiční převody Národnímu fondu na spolufinancování komunitárních programů";"1.1.1900";"1.1.9999"
"6750";"Investiční převody Národnímu fondu na spolufinancování ostatních programů Evropské unie a ČR";"Výdaje";"Kapitálové výdaje";"Investiční převody Národnímu fondu";"Investiční převody Národnímu fondu na spolufinancování ostatních programů Evropské unie a ČR";"1.1.2016";"1.1.9999"
"6760";"Investiční převody Národnímu fondu na spolufinancování související s poskytnutím pomoci ČR ze zahraničí";"Výdaje";"Kapitálové výdaje";"Investiční převody Národnímu fondu";"Investiční převody Národnímu fondu na spolufinancování související s poskytnutím pomoci ČR ze zahraničí";"1.1.1900";"1.1.9999"
"6790";"Ostatní investiční převody do Národního fondu";"Výdaje";"Kapitálové výdaje";"Investiční převody Národnímu fondu";"Ostatní investiční převody do Národního fondu";"1.1.1900";"1.1.9999"
"6901";"Rezervy kapitálových výdajů";"Výdaje";"Kapitálové výdaje";"Ostatní kapitálové výdaje";"Ostatní kapitálové výdaje";"1.1.1900";"1.1.9999"
"6909";"Ostatní kapitálové výdaje jinde nezařazené";"Výdaje";"Kapitálové výdaje";"Ostatní kapitálové výdaje";"Ostatní kapitálové výdaje";"1.1.1900";"1.1.9999"
"";"Převody do vlastní pokladny";"Výdaje";"Běžné výdaje";"Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu";"Převody vlastním fondům a ve vztahu k útvarům bez plné právní subjektivity";"1.10.2014";"1.1.9999"
