"DOKLAD_ROK";"DOKLAD_DATUM";"DOKLAD_AGENDA";"DOKLAD_CISLO";"ORGANIZACE";"ORGANIZACE_NAZEV";"ORJ";"ORJ_NAZEV";"PARAGRAF";"PARAGRAF_NAZEV";"POLOZKA";"POLOZKA_NAZEV";"SUBJEKT_IC";"SUBJEKT_NAZEV";"CASTKA_MD";"CASTKA_DAL";"POZNAMKA"
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5171";"Opravy a udržování";"";"";"0";"15000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000200";"Všeobecná pokladní správa";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5329";"Ostatní neinvestiční transfery veřejným rozpočtům územní úrovně";"";"";"0";"12500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000127";"Stavebnictví";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5362";"Platby daní a poplatků státnímu rozpočtu";"";"";"0";"5000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000133";"Plynovody";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5362";"Platby daní a poplatků státnímu rozpočtu";"";"";"0";"50000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000301";"Hlinné – altán u kaple s terénními úpravami";"9114";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"6121";"Budovy, haly a stavby";"";"";"0";"200000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000319";"Výkup nemovitostí - běžné";"1013";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"6130";"Pozemky";"";"";"0";"1400000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000319";"Výkup nemovitostí - běžné";"9112";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"6130";"Pozemky";"";"";"0";"50000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000319";"Výkup nemovitostí - běžné";"9418";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"6130";"Pozemky";"";"";"0";"100000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000319";"Výkup nemovitostí - běžné";"9809";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"6130";"Pozemky";"";"";"0";"100000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000141";"Svoz komunálního odpadu";"0";"";"3722";"Sběr a svoz komunálních odpadů";"5137";"Drobný hmotný dlouhodobý majetek";"";"";"0";"50000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000141";"Svoz komunálního odpadu";"0";"";"3722";"Sběr a svoz komunálních odpadů";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"55000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5169";"Nákup ostatních služeb";"";"";"0";"46000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000133";"Plynovody";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5169";"Nákup ostatních služeb";"";"";"0";"33000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000127";"Stavebnictví";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5169";"Nákup ostatních služeb";"";"";"0";"365000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"9904";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"600";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000138";"Ostatní služby";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5132";"Ochranné pomůcky";"";"";"0";"5000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5132";"Ochranné pomůcky";"";"";"0";"2000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000138";"Ostatní služby";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5134";"Prádlo, oděv a obuv";"";"";"0";"7000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5134";"Prádlo, oděv a obuv";"";"";"0";"5000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000138";"Ostatní služby";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"10000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"15000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5151";"Studená voda";"";"";"0";"40000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5152";"Teplo";"";"";"0";"15000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5153";"Plyn";"";"";"0";"20000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5154";"Elektrická energie";"";"";"0";"80000";""
