"DOKLAD_ROK";"ORGANIZACE";"ORGANIZACE_NAZEV";"ORJ";"ORJ_NAZEV";"CASTKA_SCHVALENY_ROZ";"CASTKA_UPRAVENY_ROZ";"CASTKA_CERPANI";"SOURADNICE_DELKA";"SOURADNICE_SIRKA"
"2016";"0000000000363";"Nový územní plán";"9210";"Jiříkovice – Nový územní plán";"4300";"8300";"8300";"16.072847366333";"49.5605964660645"
"2016";"0000000000363";"Nový územní plán";"9307";"Maršovice – Nový územní plán";"4500";"8700";"8700";"16.072847366333";"49.5605964660645"
"2016";"0000000000363";"Nový územní plán";"9412";"Olešná – Nový územní plán";"4400";"8500";"8500";"16.072847366333";"49.5605964660645"
"2016";"0000000000363";"Nový územní plán";"9508";" Petrovice – Nový územní plán ";"4000";"7700";"7700";"16.072847366333";"49.5605964660645"
"2016";"0000000000363";"Nový územní plán";"9612";" Pohledec – Nový územní plán ";"8200";"15900";"15900";"16.072847366333";"49.5605964660645"
"2016";"0000000000363";"Nový územní plán";"9707";" Rokytno – Nový územní plán ";"4000";"7700";"7700";"16.072847366333";"49.5605964660645"
"2016";"0000000000363";"Nový územní plán";"9806";" Slavkovice – Nový územní plán ";"7500";"14500";"14500";"16.072847366333";"49.5605964660645"
"2016";"0000000000363";"Nový územní plán";"9904";"Studnice – Nový územní plán";"600";"1100";"1100";"16.072847366333";"49.5605964660645"
"2016";"0000000000284";"NSS - projekt a rekonstrukce kotelny na DPS";"7717";"NSS – projekt a rekonstrukce kotelny na DPS";"1500000";"1870000";"1712596.68";"16.0669250488281";"49.5620956420898"
"2016";"0000000000259";"Obměna vozového parku";"7336";"";"0";"1800000";"848760";"16.0727996826172";"49.5606002807617"
"2016";"0000000000268";"Olešná - chodník podél st. silnice I/19 + přechod";"9411";"Olešná - chodník podél st. silnice I/19 2. etapa";"806000";"608381";"608380.6";"16.1258106231689";"49.5463447570801"
"2016";"0000000000293";"Olešná – rozšíření VO o 3 světelné body";"9417";"Olešná – rozšíření VO o 3 světelné body";"318000";"318000";"2050";"16.1266632080078";"49.5464019775391"
